Registro|Orden_Servicio|Cliente|Identificador_Metro|Tipo Servicio Metro|Tipo Plan Metro|Velocidad Metro|Central+Circuito|Central|Nombre_Central|Tipo_Componente|Status_Instalacion|Nombre_Nodo|Tipo_Nodo|Tipo_Tarjeta|Nombre_Tarjeta|Slot|Puerto
200415527|U04CAT15527|ARAH COMUNICACIONES C.A|||||2213-0121396|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|350 BOLEITA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|6|
200415971|U04CAT15971|BANCORO CA BCO UNIV REGIONAL|||||2301-0123537|2301|EL ROSAL             ( 2301 )|PTO_RDCDE|ACTIVO|350-ROSAL|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|17|
200416215|U04ICP16215|CORPOSALUD ARAGUA.|||||4354-0008967|4354|LAS DELICIAS MAY.    ( 4354 )|PTO_RDCDE|ACTIVO|DELICIAS-MCY-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1|9,10|
200416598|U04CAT16598|INMERCA, C.A.|||||2244-0119109|2244|COCHE                ( 2244 )|PTO_RDCDE|ACTIVO|350 COCHE 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|2|
200418038|U04IXM18038|C A N T V|||||2221-0116290|2221|CHACAO               ( 2221 )|PTO_RDCDE|ACTIVO|350CHACAO-1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|8|4|
200420125|U04IVA20125|UNIV SIMON RODRIGUEZ|||||5887-0001368|5887|CORO CENTRO          ( 5887 )|PTO_RDCDE|ACTIVO|350 CORO 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|16|
200420464|U04IVA20464|UNIV SIMON RODRIGUEZ|||||2221-0124120|2221|CHACAO               ( 2221 )|PTO_RDCDE|ACTIVO|350CHACAO-1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|8|30|
200422429|U04CAT22429|C A N T V|||||2322-0125198|2322|LOS CAOBOS           ( 2322 )|PTO_RDCDE|ACTIVO|350-CAOBOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|35|
200422960|U04IVA22960|BANVALOR BANCO COMERCIAL CA|||||2242-0126172|2242|CHAGUARAMOS          ( 2242 )|PTO_RDCDE|CORTADO|350 CHAGUARAMOS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|18|
200422971|U04IVA22971|SEGUROS BANVALOR C.A.|||||2303-0127966|2303|LA SALLE             ( 2303 )|PTO_RDCDE|CORTADO|350-LA SALLE|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|21|
